epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9854,0.46761,2.8535,0.96044,0.00463,1,0.62136,0.58418,0.26758,3.00561,0.84974,0.00011669,0.00011669,0.00011669
2,154.747,0.38732,2.15587,0.87454,0.00463,1,0.65966,0.62326,0.35609,2.65883,0.92477,0.000245099,0.000245099,0.000245099
3,216.168,0.4084,1.60816,0.88141,0.5164,0.89752,0.70738,0.67477,0.39908,2.05643,1.00691,0.000368227,0.000368227,0.000368227
4,277.31,0.3896,1.37712,0.85993,0.82147,0.76282,0.85112,0.8115,0.32713,2.0356,0.90249,0.000486074,0.000486074,0.000486074
5,338.548,0.39653,1.12645,0.86958,0.92523,0.92522,0.94488,0.83603,0.45364,1.68292,0.91758,0.00059864,0.00059864,0.00059864
6,399.632,0.38647,1.00197,0.85963,0.95369,0.9076,0.98538,0.92915,0.36355,1.35571,0.85167,0.000705924,0.000705924,0.000705924
7,460.637,0.39211,0.97313,0.86008,0.81718,0.92161,0.9533,0.88178,0.44234,1.4871,0.87971,0.000807928,0.000807928,0.000807928
8,521.795,0.39087,0.90269,0.85314,0.67875,0.91142,0.94768,0.85907,0.47969,1.63929,0.88443,0.000904651,0.000904651,0.000904651
9,583.521,0.39416,0.90274,0.86743,0.80408,0.81389,0.81022,0.68092,0.57568,1.83734,0.96311,0.000996093,0.000996093,0.000996093
10,648.783,0.35842,0.86902,0.85276,0.76699,0.88141,0.80125,0.60653,0.7577,1.76874,1.10382,0.00108225,0.00108225,0.00108225
11,709.729,0.36208,0.83372,0.8491,0.91005,0.76282,0.85163,0.63149,0.79299,1.82067,1.14875,0.00116313,0.00116313,0.00116313
12,771.39,0.36181,0.84062,0.86116,0.91741,0.79994,0.94159,0.7064,0.73581,1.9284,1.07644,0.00123873,0.00123873,0.00123873
13,833.598,0.40681,0.8298,0.86207,0.62888,0.72756,0.70571,0.5644,0.78458,1.77576,1.12481,0.00127092,0.00127092,0.00127092
14,894.943,0.37793,0.85282,0.87596,0.63349,0.78621,0.74038,0.59276,0.64617,1.68444,1.03484,0.00123791,0.00123791,0.00123791
